,City_name,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,flin flon,53.6,46.0,8.05,5954718.0,CA,-101.88,54.77,75.0
1,severo-kurilsk,38.38,96.0,14.76,2121385.0,RU,156.12,50.68,97.0
2,codrington,54.03,93.0,5.82,2160063.0,AU,153.24,-28.95,0.0
3,bredasdorp,66.13,68.0,11.41,1015776.0,ZA,20.04,-34.53,100.0
5,kindersley,63.59,27.0,3.36,5992154.0,CA,-109.16,51.47,40.0
6,kavieng,84.28,73.0,9.91,2094342.0,PG,150.8,-2.57,100.0
7,brae,47.43,75.0,10.29,2654970.0,GB,-1.35,60.4,100.0
8,hithadhoo,84.1,76.0,7.27,1282256.0,MV,73.08,-0.6,60.0
9,ponta delgada,68.0,77.0,5.82,3372783.0,PT,-25.67,37.73,40.0
10,kaitangata,54.0,68.0,1.99,2208248.0,NZ,169.85,-46.28,100.0
11,neiafu,75.2,94.0,2.24,4032420.0,TO,-173.98,-18.65,40.0
12,busselton,42.35,67.0,16.64,2075265.0,AU,115.35,-33.64,0.0
13,kudahuvadhoo,85.0,77.0,15.46,1337607.0,MV,72.89,2.67,83.0
14,port macquarie,45.77,93.0,2.93,2152659.0,AU,152.91,-31.43,0.0
15,jamestown,52.96,79.0,14.79,2069194.0,AU,138.6,-33.21,10.0
16,nantucket,71.26,77.0,14.99,4944903.0,US,-70.1,41.28,1.0
17,sao joao da barra,79.39,57.0,11.41,3448903.0,BR,-41.05,-21.64,20.0
18,castlebar,54.66,87.0,20.8,2965654.0,IE,-9.3,53.86,75.0
19,katobu,76.0,95.0,5.03,1640972.0,ID,122.53,-4.94,100.0
20,port lincoln,57.28,68.0,25.55,2063036.0,AU,135.86,-34.72,84.0
21,padampur,97.24,15.0,3.04,1260938.0,IN,73.62,29.71,0.0
23,cayenne,87.8,62.0,14.99,3382160.0,GF,-52.33,4.94,40.0
24,norman wells,53.6,71.0,14.99,6089245.0,CA,-126.83,65.28,75.0
25,upernavik,32.08,87.0,8.7,3418910.0,GL,-56.15,72.79,89.0
26,ushuaia,41.0,73.0,8.05,3833367.0,AR,-68.31,-54.81,40.0
27,tasiilaq,39.2,59.0,10.29,3424607.0,GL,-37.64,65.61,0.0
28,thunder bay,52.43,58.0,6.93,6166142.0,CA,-89.26,48.41,90.0
29,provideniya,41.26,75.0,2.39,4031574.0,RU,-173.23,64.42,68.0
30,cap malheureux,73.13,73.0,8.05,934649.0,MU,57.61,-19.98,75.0
31,west wendover,60.8,55.0,6.93,5710035.0,US,-114.07,40.74,1.0
32,tautira,75.09,94.0,3.36,4033557.0,PF,-149.15,-17.73,75.0
33,avarua,75.2,73.0,10.29,4035715.0,CK,-159.78,-21.21,6.0
34,punta arenas,39.09,80.0,5.82,3874787.0,CL,-70.91,-53.16,75.0
35,ozernovskiy,39.64,94.0,4.29,2122293.0,RU,156.52,51.5,96.0
36,aksu,39.2,60.0,6.71,1524298.0,KZ,76.93,52.04,0.0
37,ajaccio,61.65,82.0,9.91,6452235.0,FR,8.74,41.93,90.0
38,cabedelo,86.0,70.0,11.41,3404558.0,BR,-34.84,-6.97,75.0
39,dikson,24.16,93.0,10.58,1507390.0,RU,80.55,73.51,0.0
41,hobart,43.77,52.0,13.87,2163355.0,AU,147.33,-42.88,20.0
42,vestmannaeyjar,44.6,81.0,9.17,3412093.0,IS,-20.27,63.44,90.0
43,alofi,75.2,88.0,11.41,4036284.0,NU,-169.92,-19.06,4.0
44,carnarvon,63.4,30.0,10.76,1014034.0,ZA,22.13,-30.97,63.0
45,saint-philippe,73.53,53.0,12.75,6138908.0,CA,-73.48,45.36,75.0
46,cabra,82.65,14.0,8.05,2520645.0,ES,-4.43,37.47,0.0
48,feldbach,69.57,53.0,1.12,2779685.0,AT,15.89,46.95,75.0
50,tual,83.74,78.0,19.15,1623197.0,ID,132.75,-5.67,32.0
52,longyearbyen,28.4,58.0,19.46,2729907.0,NO,15.63,78.22,20.0
53,dukat,68.0,70.0,5.08,786562.0,RS,22.31,42.44,62.0
55,jalu,92.2,20.0,16.31,86049.0,LY,21.55,29.03,100.0
56,vaini,80.68,83.0,2.84,1273574.0,IN,74.49,15.34,40.0
57,albany,79.39,47.0,13.87,5106834.0,US,-73.75,42.65,75.0
58,karaton,82.17,74.0,1.12,1630058.0,ID,106.1,-6.34,40.0
60,saldanha,76.36,39.0,14.43,2737599.0,PT,-6.55,41.42,0.0
61,castro,50.0,71.0,6.93,3896218.0,CL,-73.76,-42.48,0.0
62,inhambane,66.2,88.0,3.49,1045114.0,MZ,35.38,-23.87,40.0
