,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,Flin Flon,56.82,98.0,5.44,5954718.0,CA,-101.865,54.7682,99.0
1,Severo-Kuril'sk,42.35,94.0,17.2,2121385.0,RU,156.125,50.6789,100.0
2,Codrington,55.92,75.0,8.79,2171099.0,AU,141.9667,-38.2667,100.0
3,Bredasdorp,60.58,82.0,21.27,1015776.0,ZA,20.0403,-34.5322,85.0
4,Kindersley,51.82,87.0,5.75,5992154.0,CA,-109.1682,51.4668,20.0
5,Kavieng,83.91,71.0,5.68,2094342.0,PG,150.7967,-2.5744,100.0
6,Brae,49.57,87.0,24.56,2654970.0,GB,-1.353,60.3964,95.0
7,Hithadhoo,82.92,74.0,8.16,1282256.0,MV,73.0833,-0.6,78.0
8,Ponta Delgada,61.52,94.0,2.3,3372783.0,PT,-25.6667,37.7333,20.0
9,Kaitangata,49.84,93.0,3.47,2208248.0,NZ,169.8464,-46.2817,100.0
10,Neiafu,78.49,89.0,13.8,4032420.0,TO,-173.9833,-18.65,2.0
11,Busselton,68.18,69.0,10.69,2075265.0,AU,115.3333,-33.65,100.0
12,Kudahuvadhoo,84.31,71.0,11.48,1337607.0,MV,72.8944,2.6708,32.0
13,Port Macquarie,54.9,62.0,3.38,2152659.0,AU,152.9167,-31.4333,0.0
14,Jamestown,52.02,91.0,0.0,5122534.0,US,-79.2353,42.097,0.0
15,Nantucket,57.16,88.0,13.56,4944903.0,US,-70.0995,41.2835,0.0
16,São João da Barra,64.09,90.0,3.2,3448903.0,BR,-41.0511,-21.6403,13.0
17,Castlebar,55.9,57.0,3.38,2965654.0,IE,-9.3,53.85,99.0
18,Katobu,80.67,71.0,8.43,1640972.0,ID,122.5276,-4.9408,55.0
19,Port Lincoln,58.24,93.0,5.84,2063036.0,AU,135.8667,-34.7333,30.0
20,Padampur,89.64,39.0,7.14,1260938.0,IN,73.6167,29.6833,96.0
21,Cayenne,73.44,100.0,0.0,3382160.0,GF,-52.3333,4.9333,0.0
22,Norman Wells,48.24,76.0,6.91,6089245.0,CA,-126.8329,65.282,75.0
23,Upernavik,16.59,73.0,10.47,3418910.0,GL,-56.1549,72.7868,100.0
24,Ushuaia,42.46,87.0,4.61,3833367.0,AR,-68.3,-54.8,75.0
25,Tasiilaq,35.76,89.0,9.86,3424607.0,GL,-37.6368,65.6145,100.0
26,Thunder Bay,42.71,87.0,3.44,6166142.0,CA,-89.3168,48.4001,20.0
27,Provideniya,36.18,91.0,6.96,4031574.0,RU,-173.3,64.3833,84.0
28,Cap Malheureux,81.46,64.0,11.01,934649.0,MU,57.6142,-19.9842,9.0
29,West Wendover,60.01,63.0,9.22,5710035.0,US,-114.0733,40.7391,20.0
30,Tautira,80.51,74.0,15.14,4033557.0,PF,-149.15,-17.7333,87.0
31,Avarua,75.25,94.0,6.91,4035715.0,CK,-159.775,-21.2078,75.0
32,Punta Arenas,44.71,93.0,16.11,3874787.0,CL,-70.9167,-53.15,100.0
33,Ozernovskiy,43.07,90.0,16.37,2122293.0,RU,156.5167,51.5,100.0
34,Aksu,79.14,19.0,3.42,1529660.0,CN,80.2644,41.1231,0.0
35,Arrondissement d'Ajaccio,68.63,63.0,9.22,3038333.0,FR,8.9167,42.0,0.0
36,Cabedelo,75.87,97.0,7.36,3404558.0,BR,-34.8339,-6.9811,95.0
37,Dikson,32.0,91.0,5.84,1507390.0,RU,80.5464,73.5069,8.0
38,Hobart,46.96,66.0,11.5,2163355.0,AU,147.3294,-42.8794,75.0
39,Vestmannaeyjar,47.39,100.0,11.5,3412093.0,IS,-20.2734,63.4427,100.0
40,Alofi,76.89,94.0,8.05,4036284.0,NU,-169.9187,-19.0595,75.0
41,Carnarvon,75.22,59.0,8.75,2074865.0,AU,113.6333,-24.8667,100.0
42,Saint-Philippe,81.99,72.0,11.99,935215.0,RE,55.7679,-21.3585,93.0
43,Cabra,63.34,70.0,6.17,2520645.0,ES,-4.4421,37.4725,30.0
44,Feldbach,73.63,44.0,4.72,2779685.0,AT,15.8883,46.9531,5.0
45,Tual,81.16,82.0,20.47,1623197.0,ID,132.75,-5.6667,88.0
46,Longyearbyen,33.64,69.0,13.8,2729907.0,SJ,15.6401,78.2186,75.0
47,Dukat,42.13,85.0,7.52,2125906.0,RU,155.55,62.55,100.0
48,Jalu,79.52,33.0,4.65,86049.0,LY,21.5482,29.0331,0.0
49,Vaini,77.16,88.0,13.8,4032243.0,TO,-175.2,-21.2,75.0
50,Albany,54.21,69.0,1.01,5106841.0,US,-73.9662,42.6001,0.0
51,Karaton,83.52,72.0,2.1,1630058.0,ID,106.1045,-6.3424,77.0
52,Saldanha,55.45,64.0,14.14,3361934.0,ZA,17.9442,-33.0117,3.0
53,Castro,53.94,98.0,4.03,3466704.0,BR,-50.0119,-24.7911,100.0
54,Inhambane,80.01,65.0,9.22,1045114.0,MZ,35.3833,-23.865,20.0
55,Mataura,52.83,89.0,3.0,6201424.0,NZ,168.8643,-46.1927,100.0
56,Puerto Ayora,74.55,100.0,1.01,3652764.0,EC,-90.3518,-0.7393,100.0
57,Arraial do Cabo,69.42,92.0,12.37,3471451.0,BR,-42.0278,-22.9661,100.0
58,Obihiro,63.01,77.0,6.91,2128815.0,JP,143.2044,42.9172,75.0
59,Penzance,59.59,63.0,19.57,2640377.0,GB,-5.5371,50.1186,0.0
60,Butaritari,84.11,75.0,12.28,2110227.0,KI,172.7902,3.0707,36.0
61,Rikitea,72.63,58.0,11.16,4030556.0,PF,-134.9692,-23.1203,44.0
62,Namatanai,81.7,81.0,11.79,2090021.0,PG,152.4333,-3.6667,59.0
63,Isangel,73.71,77.0,8.16,2136825.0,VU,169.2667,-19.55,14.0
64,Saint George,67.41,26.0,10.36,5546220.0,US,-113.5841,37.1041,0.0
65,Kruisfontein,57.88,82.0,11.9,986717.0,ZA,24.7314,-34.0033,100.0
66,Mwinilunga,77.94,31.0,5.26,902620.0,ZM,24.4293,-11.7358,100.0
67,Port Alfred,63.18,93.0,3.0,964432.0,ZA,26.891,-33.5906,100.0
68,Marzuq,88.3,32.0,7.09,72181.0,YE,46.4667,14.4,89.0
69,Puerto Escondido,81.12,78.0,4.21,3520994.0,MX,-97.0667,15.85,27.0
70,Sivaki,61.93,36.0,9.86,2016477.0,RU,126.75,52.6333,100.0
71,Yellowknife,48.72,76.0,5.75,6185377.0,CA,-114.3525,62.456,20.0
72,Canchungo,82.53,64.0,7.36,2373951.0,GW,-16.0333,12.0672,84.0
73,Östersund,41.45,38.0,6.91,2685750.0,SE,14.6357,63.1792,0.0
74,Fort Nelson,49.95,81.0,4.61,5955902.0,CA,-122.7002,58.8053,75.0
75,Castelo Branco,68.0,76.0,2.66,2269514.0,PT,-7.4909,39.8222,100.0
76,Black River,78.6,86.0,3.51,3491355.0,JM,-77.8487,18.0264,94.0
77,Atuona,80.91,72.0,19.89,4020109.0,PF,-139.0333,-9.8,17.0
78,Birao,79.95,67.0,11.1,240210.0,CF,22.7882,10.2849,100.0
79,Ekhabi,41.63,65.0,14.61,2122614.0,RU,142.9671,53.5102,100.0
80,Barrow,33.82,86.0,13.8,5880054.0,US,-156.7887,71.2906,100.0
81,Hilo,68.36,97.0,4.85,5855927.0,US,-155.09,19.7297,100.0
82,Mehamn,49.95,57.0,4.61,778707.0,NO,27.8492,71.0357,100.0
83,Shingū,75.61,89.0,6.69,1847947.0,JP,135.9833,33.7333,100.0
84,George Town,85.96,75.0,3.44,1735106.0,MY,100.3354,5.4112,20.0
85,Russell,58.23,94.0,0.0,4047434.0,US,-85.1999,32.3502,0.0
86,Sidhi,104.67,17.0,8.37,1256369.0,IN,81.8833,24.4167,2.0
87,Laramie,42.78,75.0,0.0,5830062.0,US,-105.5911,41.3114,0.0
88,Bluff,54.64,95.0,17.74,2206939.0,NZ,168.3333,-46.6,100.0
89,Bayir,72.12,59.0,3.58,304183.0,TR,28.2167,37.2687,100.0
