,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,69.64,60.0,6.91,5954718.0,CA,-101.865,54.7682,0.0,1685559603.0
1,Severo-Kuril'sk,37.9,90.0,9.98,2121385.0,RU,156.125,50.6789,100.0,1685559611.0
2,Codrington,54.16,65.0,14.83,2171099.0,AU,141.9667,-38.2667,100.0,1685559550.0
3,Bredasdorp,59.41,94.0,9.48,1015776.0,ZA,20.0403,-34.5322,100.0,1685559393.0
4,Kindersley,84.22,18.0,13.8,5992154.0,CA,-109.1682,51.4668,20.0,1685559632.0
5,Kavieng,81.86,79.0,5.39,2094342.0,PG,150.7967,-2.5744,100.0,1685559483.0
6,Brae,49.08,76.0,13.69,2654970.0,GB,-1.353,60.3964,100.0,1685559638.0
7,Hithadhoo,82.06,79.0,8.77,1282256.0,MV,73.0833,-0.6,100.0,1685559418.0
8,Ponta Delgada,66.92,77.0,12.66,3372783.0,PT,-25.6667,37.7333,40.0,1685559647.0
9,Kaitangata,46.76,85.0,5.39,2208248.0,NZ,169.8464,-46.2817,98.0,1685559474.0
10,Neiafu,75.88,94.0,4.61,4032420.0,TO,-173.9833,-18.65,20.0,1685559651.0
11,Busselton,55.45,91.0,12.1,2075265.0,AU,115.3333,-33.65,19.0,1685559373.0
12,Kudahuvadhoo,82.38,78.0,19.53,1337607.0,MV,72.8944,2.6708,100.0,1685559656.0
13,Port Macquarie,48.88,69.0,4.68,2152659.0,AU,152.9167,-31.4333,3.0,1685559359.0
14,Jamestown,80.11,38.0,6.91,5122534.0,US,-79.2353,42.097,0.0,1685559660.0
15,Nantucket,57.25,88.0,8.9,4944903.0,US,-70.0995,41.2835,0.0,1685559662.0
16,São João da Barra,75.29,68.0,10.71,3448903.0,BR,-41.0511,-21.6403,100.0,1685559664.0
17,Castlebar,62.58,77.0,8.1,2965654.0,IE,-9.3,53.85,1.0,1685559667.0
18,Katobu,74.23,92.0,4.21,1640972.0,ID,122.5276,-4.9408,99.0,1685559669.0
19,Port Lincoln,59.04,92.0,8.23,2063036.0,AU,135.8667,-34.7333,33.0,1685559671.0
20,Padampur,68.88,75.0,28.43,1260938.0,IN,73.6167,29.6833,95.0,1685559673.0
21,Cayenne,84.24,70.0,11.5,3382160.0,GF,-52.3333,4.9333,43.0,1685559676.0
22,Norman Wells,50.04,87.0,8.05,6089245.0,CA,-126.8329,65.282,100.0,1685559678.0
23,Upernavik,32.85,99.0,1.23,3418910.0,GL,-56.1549,72.7868,100.0,1685559436.0
24,Ushuaia,44.26,81.0,2.3,3833367.0,AR,-68.3,-54.8,0.0,1685559682.0
25,Tasiilaq,37.56,97.0,3.53,3424607.0,GL,-37.6368,65.6145,100.0,1685559684.0
26,Thunder Bay,69.71,49.0,17.27,6166142.0,CA,-89.3168,48.4001,75.0,1685559614.0
27,Provideniya,39.61,67.0,6.6,4031574.0,RU,-173.3,64.3833,80.0,1685559689.0
28,Cap Malheureux,71.47,73.0,1.01,934649.0,MU,57.6142,-19.9842,1.0,1685559691.0
29,West Wendover,74.41,29.0,12.66,5710035.0,US,-114.0733,40.7391,0.0,1685559563.0
30,Tautira,75.6,68.0,14.29,4033557.0,PF,-149.15,-17.7333,32.0,1685559696.0
31,Avarua,71.65,53.0,4.61,4035715.0,CK,-159.775,-21.2078,13.0,1685559698.0
32,Punta Arenas,44.42,76.0,9.22,3874787.0,CL,-70.9167,-53.15,0.0,1685559663.0
33,Ozernovskiy,38.03,93.0,6.02,2122293.0,RU,156.5167,51.5,100.0,1685559703.0
34,Aksu,72.36,23.0,3.89,1529660.0,CN,80.2644,41.1231,84.0,1685559626.0
35,Arrondissement d'Ajaccio,62.58,73.0,5.75,3038333.0,FR,8.9167,42.0,100.0,1685559707.0
36,Cabedelo,86.67,80.0,11.61,3404558.0,BR,-34.8339,-6.9811,79.0,1685559490.0
37,Dikson,29.88,97.0,7.61,1507390.0,RU,80.5464,73.5069,96.0,1685559711.0
